participant_id,age,gender,region,institution_type,years_teaching,training_track,attendance,satisfaction,pre_score,post_score,completed
LEC-0211,40,Male,North East,Public,18,Online,98.0,5,53.0,76.0,Yes
LEC-0215,43,Male,North Central,Private,9,In-Person,83.0,5,39.0,69.0,Yes
LEC-0065,38,female,North East,Private,4,Blended,100,4,40.0,65.0,Yes
LEC-0107,51,Female,south west,Public,28,online,86.0,,50.0,60.0,Yes
LEC-0060,44,Female,North West,Public,20,INPERSON,82.0,3,49.0,130,Yes
LEC-0050,30,female,North Central,PUBLIC,6,Online,98.0,4,56.0,74.0,Yes
LEC-0227,23,Female,North East,Public,0,,97.0,4,59.0,87.0,
LEC-0200,40,Male,South West,PUBLIC,15,blended,140,5,40.0,89.0,Yes
LEC-0180,,female,North-Central,Public,15,Blended,83.0,3,42.0,53.0,Yes
LEC-0106,34,MALE,North West,Public,15,Online,76.0,5,59.0,88.0,Yes
LEC-0150,42,Male,North West,Private,18,Online ,82.0,2,45.0,66.0,Yes
LEC-0138,,Female,North Central,Public,,In-Person,84.0,2,45.0,66.0,Yes
LEC-0192,29,male,North West,Public,0,Online,71.0,4,65.0,88.0,Yes
LEC-0002,57,Male,North West,Public,39,Online,93.0,5,66.0,78.0,Yes
LEC-0055,52,Female,North Central,PUBLIC,24,Online,68.0,5,46.0,65.0,
LEC-0190,46,FEMALE ,North East,PUBLIC,12,Online,100,3,81.0,100,Yes
LEC-0135,49,Female,SOUTH EAST,Private,14,Online,90.0,5,48.0,,Yes
LEC-0164,32,Female,South South,Private,6,in-person,-10,4,49.0,75.0,Yes
LEC-0121,35,Male,South West,Public,0,In-Person,,4,43.0,,Yes
LEC-0019,52,Female,South West,PRIVATE ,30,in-person,100,3,40.0,73.0,Yes
LEC-0214,33,Female,South West,Public,0,In-Person,85.0,5,37.0,67.0,Yes
LEC-0203,33,Male,south east ,Private,9,Blended,72.0,3,54.0,92.0,Yes
LEC-0162,36,Male,North Central,Private,6,In-Person,71.0,5,50.0,73.0,Yes
LEC-0142,32,Male,South-South,PUBLIC,0,In-Person,93.0,3,71.0,93.0,Yes
LEC-0026,42,Male,SOUTH WEST,Private,12,Online,76.0,5,57.0,55.0,Yes
LEC-0057,54,male,south east ,Public,32,Online,96.0,2,57.0,81.0,Yes
LEC-0104,47,Female,,PRIVATE ,21,online,58.0,4,61.0,88.0,No
LEC-0095,44,F,South West,,26,In-Person,89.0,4,59.0,91.0,Yes
LEC-0079,42,FEMALE ,south west,PUBLIC,8,Online,77.0,4,57.0,88.0,Yes
LEC-0212,37,FEMALE ,South West,Private,0,Online,100,3,59.0,86.0,Yes
LEC-0123,45,Female,North West,Public,,In-Person,83.0,4,47.0,74.0,
LEC-0022,36,Female,south south,Public,1,In-Person,95.0,3,48.0,84.0,Yes
LEC-0087,35,Female,North Central,Public,5,In-Person,89.0,5,53.0,84.0,Yes
LEC-0025,39,Female,North West,Public,0,In-Person,100,2,48.0,68.0,Yes
LEC-0096,47,Male,North Central,Public,30,Online,62.0,3,44.0,70.0,Yes
LEC-0056,57,Female,South East,Public,25,Blended,79.0,5,61.0,83.0,Yes
LEC-0156,43,F,North West,Private,5,Blended,77.0,3,49.0,67.0,No
LEC-0128,29,Male,SOUTH EAST,Public,7,Online,98.0,4,67.0,87.0,Yes
LEC-0048,30,Male,north east,Public,0,Online,85.0,4,60.0,79.0,Yes
LEC-0101,33,F,South South,PRIVATE ,5,Blended,61.0,4,37.0,52.0,Yes
LEC-0124,59,male,North Central,Public,30,Online,90.0,4,53.0,,Yes
LEC-0137,36,Male,South East,Public,0,Online,94.0,4,48.0,77.0,Yes
LEC-0196,38,MALE,North West,PUBLIC,16,,91.0,5,54.0,70.0,Yes
LEC-0134,54,Female,South West,Public,25,Blended,75.0,3,51.0,71.0,Yes
LEC-0153,54,Male,North Central,Public,30,Online,87.0,3,32.0,62.0,Yes
LEC-0013,53,Female,north central,Public,29,Online ,68.0,3,42.0,60.0,Yes
LEC-0148,33,M,South West,public,0,Online,100,4,19.0,44.0,Yes
LEC-0096,47,Male,North Central,Public,30,Online,62.0,3,44.0,70.0,Yes
LEC-0070,39,Male,South South,Private,17,In-Person,86.0,3,57.0,84.0,Yes
LEC-0163,32,F,Nort West,Public,17,In-Person,94.0,5,49.0,75.0,Yes
LEC-0171,38,Male,South West,Public,14,ONLINE,79.0,3,67.0,78.0,Yes
LEC-0136,43,Male,South South,Public,14,In-Person,100,3,51.0,68.0,Yes
LEC-0236,52,F,SOUTH EAST,Private,23,Online,79.0,3,59.0,68.0,Yes
LEC-0082,40,Male,South West,PRIVATE ,9,In Person,100,,56.0,100,Yes
LEC-0018,37,Female,South East,public,23,blended,67.0,5,49.0,71.0,Yes
LEC-0103,35,Male,North East,Private,12,In-Person,120,5,53.0,84.0,Yes
LEC-0044,55,Male,South-South,PUBLIC,21,Online,100,5,60.0,72.0,Yes
LEC-0080,150,Male,North Central,PUBLIC,10,Online,,4,43.0,71.0,Yes
LEC-0004,26,Male,north west,Public,2,Online,100,3,54.0,78.0,Yes
LEC-0157,48,Female,NORTH EAST ,PRIVATE ,29,In-Person,63.0,4,52.0,71.0,Yes
LEC-0120,29,female,South West,Public,8,Online,81.0,5,50.0,,Yes
LEC-0097,58,Male,NORTH CENTRAL,Public,34,In-Person,93.0,2,65.0,88.0,Yes
LEC-0143,40,Female,North-Central,,19,Online,90.0,4,33.0,55.0,
LEC-0188,34,Male,North West,Public,8,BLENDED ,100,4,60.0,98.0,Yes
LEC-0146,24,FEMALE ,south south,public,0,Blended,100,5,33.0,70.0,Yes
LEC-0102,25,Male,South East,Public,0,In-Person,73.0,3,43.0,66.0,Yes
LEC-0113,18,Female,North Central,Public,0,In-Person,91.0,5,44.0,76.0,Yes
LEC-0155,33,Female,North East,Public,7,In-Person,100,4,50.0,77.0,Yes
LEC-0052,20,M,South South,Public,3,In Person,88.0,4,68.0,100,Yes
LEC-0077,27,female,North West,Public,4,In-Person,100,2,49.0,130,No
LEC-0191,24,F,South East,Private,0,Online,100,5,36.0,61.0,Yes
LEC-0133,,,north central,Public,1,Online,65.0,,41.0,45.0,Yes
LEC-0125,25,Male,south east ,Private,1,In-Person,75.0,3,74.0,100,Yes
LEC-0038,44,Female,North Central,Public,20,Blended,78.0,1,62.0,82.0,Yes
LEC-0047,38,Male,North East,Public,9,In-Person,69.0,5,37.0,60.0,Yes
LEC-0008,40,Female,North East,Public,13,Blended,98.0,4,53.0,93.0,Yes
LEC-0035,40,Female,South West,Public,15,Online,87.0,4,73.0,130,Yes
LEC-0229,30,Female,North East,Public,0,Blended,51.0,5,46.0,76.0,No
LEC-0197,43,Female,Nort West,Private,19,BLENDED ,64.0,3,34.0,62.0,Yes
LEC-0179,57,MALE,North-Central,Public,36,ONLINE,75.0,5,75.0,99.0,Yes
LEC-0027,47,Female,south west,Private,15,Online,88.0,3,67.0,86.0,Yes
LEC-0083,36,Male,South West,public,10,Blended,78.0,4,,78.0,Yes
LEC-0006,37,M,North West,public,14,blended,93.0,5,39.0,85.0,Yes
LEC-0093,51,Male,South West,PRIVATE ,19,Blended,77.0,4,51.0,81.0,Yes
LEC-0194,30,Female,South South,Public,0,In-Person,89.0,1,55.0,70.0,Yes
LEC-0116,39,Male,South East,Public,7,Online,,4,55.0,67.0,Yes
LEC-0034,42,Male,South West,Private,11,In-Person,84.0,3,34.0,59.0,Yes
LEC-0204,57,Female,North-Central,PUBLIC,34,In-Person,91.0,2,49.0,71.0,Yes
LEC-0089,35,Male,south west,Private,0,Online,70.0,3,68.0,89.0,Yes
LEC-0228,38,female,south west,Public,16,In-Person,100,5,41.0,78.0,Yes
LEC-0074,25,Female,North East,Public,5,In-Person,97.0,4,46.0,73.0,Yes
LEC-0015,41,Male,North East,Public,,Online,79.0,5,48.0,60.0,Yes
LEC-0076,39,Male,north west,Public,10,In-Person,84.0,3,53.0,76.0,Yes
LEC-0059,39,Female,North East,PUBLIC,1,Online,45.0,5,81.0,100,No
LEC-0112,21,Male,South South,Public,0,ONLINE,89.0,4,42.0,57.0,Yes
LEC-0177,40,M,South West,Public,11,Online,83.0,0,59.0,85.0,Yes
LEC-0031,48,Male,North West,Public,25,In-Person,68.0,4,61.0,82.0,Yes
LEC-0054,35,Female,North East,PUBLIC,6,In-Person,81.0,3,39.0,65.0,Yes
LEC-0147,38,Female,North East,Private,11,Blended,96.0,2,33.0,65.0,Yes
LEC-0198,39,Male,South East,Public,9,online,72.0,6,57.0,74.0,Yes
LEC-0230,31,Male,north central,Public,7,blended,77.0,4,39.0,69.0,Yes
LEC-0151,,Female,South East,public,0,Online,84.0,0,71.0,77.0,Yes
LEC-0221,29,F,South South,Public,9,Online,100,4,38.0,,Yes
LEC-0049,46,,south west,public,24,BLENDED ,100.0,4,47.0,77.0,Yes
LEC-0168,31,Male,North East,Private,6,Online,92.0,2,50.0,75.0,No
LEC-0028,51,Female,South South,Private,24,Online,72.0,6,47.0,80.0,Yes
LEC-0210,-5,female,South East,Public,26,In-Person,60.0,5,33.0,55.0,Yes
LEC-0012,50,Male,,Public,14,Blended,68.0,3,52.0,76.0,Yes
LEC-0213,38,MALE,north east,Public,22,Blended,61.0,4,45.0,61.0,Yes
LEC-0144,31,Male,South South,public,0,In-Person,77.0,4,68.0,86.0,Yes
LEC-0184,39,female,North Central,private,,in-person,91.0,3,44.0,77.0,Yes
LEC-0223,20,Male,South East,Public,1,Online,67.0,5,57.0,78.0,
LEC-0240,35,Male,South West,Private,2,in-person,120,4,40.0,64.0,Yes
LEC-0032,49,female,South-South,public,21,In-Person,95.0,4,68.0,88.0,Yes
LEC-0175,41,MALE,North East,Public,21,In-Person,97.0,2,,87.0,Yes
LEC-0075,41,Female,North East,PRIVATE ,12,ONLINE,86.0,1,49.0,66.0,Yes
LEC-0178,39,Female,South South,public,13,Blended,79.0,4,,89.0,Yes
LEC-0111,46,MALE,SOUTH EAST,Private,26,Online,78.0,5,69.0,80.0,Yes
LEC-0119,31,FEMALE ,North West,Public,12,Online,87.0,3,54.0,67.0,Yes
LEC-0160,32,Male,NORTH EAST ,Public,,blended,-10,5,-3,84.0,Yes
LEC-0207,32,Female,south west,Private,5,Online ,69.0,5,56.0,72.0,Yes
LEC-0081,33,Male,north central,Private,12,Online,86.0,4,63.0,83.0,Yes
LEC-0077,27,female,North West,Public,4,In-Person,100,2,49.0,130,No
LEC-0009,37,Male,Nort West,Public,6,Online,90.0,4,59.0,82.0,
LEC-0099,46,Female,North Central,Public,11,online,65.0,4,36.0,54.0,Yes
LEC-0108,46,Male,south east ,Public,22,blended,87.0,3,29.0,68.0,Yes
LEC-0172,51,Male,North West,Public,27,In-Person,88.0,1,59.0,69.0,Yes
LEC-0217,43,female,South East,Public,15,ONLINE,94.0,3,69.0,67.0,No
LEC-0231,52,Male,South East,public,24,In-Person,100,5,57.0,86.0,Yes
LEC-0100,43,Female,South West,Private,1,Online,74.0,4,77.0,98.0,No
LEC-0039,44,Female,SOUTH WEST,public,19,In-Person,100,4,53.0,57.0,Yes
LEC-0185,36,female,North East,private,0,Online,71.0,4,43.0,51.0,Yes
LEC-0036,42,Female,North Central,PUBLIC,10,In-Person,79.0,4,60.0,90.0,Yes
LEC-0072,44,Female,South-South,Public,21,blended,100.0,5,54.0,80.0,Yes
LEC-0029,30,Female,South West,PUBLIC,7,Online,69.0,4,73.0,90.0,Yes
LEC-0061,47,Male,South South,Public,15,Blended,98.0,2,39.0,78.0,Yes
LEC-0114,28,Male,North East,Private,1,In-Person,140,5,79.0,89.0,Yes
LEC-0186,55,Female,North Central,Private,28,INPERSON,74.0,3,47.0,70.0,Yes
LEC-0206,59,Female,South East,Private,32,In-Person,71.0,4,72.0,94.0,Yes
LEC-0161,37,Male,North East,PUBLIC,0,online,85.0,5,62.0,82.0,Yes
LEC-0030,53,Male,South South,Private,32,Online,70.0,3,48.0,52.0,Yes
LEC-0163,32,F,Nort West,Public,17,In-Person,94.0,5,49.0,75.0,Yes
LEC-0115,33,Male,North West,Public,1,Online,87.0,5,60.0,85.0,Yes
LEC-0237,18,Female,North East,Private,0,Online,98.0,3,52.0,,Yes
LEC-0159,35,female,North East,Private,9,Online,90.0,5,43.0,63.0,Yes
LEC-0040,59,Male,South West,Private,25,Blended,62.0,5,79.0,99.0,Yes
LEC-0130,28,Female,South East,public,0,online,60.0,3,57.0,71.0,Yes
LEC-0021,32,male,South South,Public,2,ONLINE,88.0,5,32.0,61.0,Yes
LEC-0037,16,Male,North East,Private,0,Blended,95.0,3,62.0,92.0,Yes
LEC-0042,34,Female,North Central,Public,15,Blended,69.0,3,60.0,82.0,Yes
LEC-0068,150,Male,NORTH EAST ,Public,16,In-Person,82.0,5,71.0,83.0,Yes
LEC-0091,30,Male,North East,Public,5,Online ,77.0,3,43.0,70.0,Yes
LEC-0014,,FEMALE ,North West,Private,26,In-Person,60.0,9,57.0,88.0,Yes
LEC-0154,50,Male,South West,Public,19,In-Person,74.0,2,62.0,89.0,Yes
LEC-0158,42,Male,South East,PUBLIC,20,In-Person,64.0,2,47.0,73.0,Yes
LEC-0071,45,Male,South South,PRIVATE ,8,In-Person,88.0,5,20.0,55.0,Yes
LEC-0084,37,Female,North Central,Private,10,online,68.0,4,47.0,70.0,Yes
LEC-0226,40,MALE,North East,Public,15,blended,58.0,9,-3,98.0,Yes
LEC-0169,49,female,north west,Public,19,Blended,100,4,50.0,90.0,Yes
LEC-0187,-5,Female,South-South,Private,,Online,87.0,4,56.0,68.0,
LEC-0208,35,male,North East,Private,2,Blended,92.0,2,56.0,79.0,Yes
LEC-0218,36,Female,North Central,Public,20,in-person,34.0,4,54.0,67.0,Yes
LEC-0235,50,male,North West,Public,16,Blended,58.0,5,,89.0,Yes
LEC-0041,33,Female,North Central,Public,2,,82.0,4,33.0,63.0,Yes
LEC-0066,41,F,North West,Public,19,Online,100,5,50.0,65.0,Yes
LEC-0199,,Male,South South,PUBLIC,4,Online,91.0,4,66.0,,Yes
LEC-0222,,female,South South,,28,In-Person,,3,81.0,100,Yes
LEC-0201,49,Female,North Central,Private,22,Online,53.0,3,26.0,45.0,Yes
LEC-0088,37,female,SOUTH EAST,Public,16,Blended,81.0,5,45.0,67.0,Yes
LEC-0195,48,Female,North Central,Public,17,Blended,60.0,2,58.0,83.0,No
LEC-0233,42,Female,,Public,15,Online,72.0,3,29.0,53.0,Yes
LEC-0023,33,F,North East,Public,20,In-Person,78.0,4,47.0,69.0,Yes
LEC-0036,42,Female,North Central,PUBLIC,10,In-Person,79.0,4,60.0,90.0,Yes
LEC-0216,40,Female,South West,Private,,In-Person,88.0,,56.0,88.0,Yes
LEC-0131,30,Female,South South,Private,0,Online,83.0,4,53.0,62.0,Yes
LEC-0043,48,M,North West,Public,20,Online,58.0,2,52.0,,No
LEC-0098,37,male,north east,Private,14,,89.0,4,72.0,79.0,Yes
LEC-0045,46,Male,North Central,Public,16,online,100,3,55.0,77.0,Yes
LEC-0007,38,Male,South West,Public,15,Blended,80.0,3,49.0,77.0,Yes
LEC-0174,53,Female,North East,private,31,Online,97.0,3,-3,61.0,Yes
LEC-0224,41,female,North East,Private,12,Online,91.0,4,49.0,81.0,Yes
LEC-0176,37,female,south south,Public,6,Online,71.0,5,62.0,76.0,Yes
LEC-0189,,Male,South West,Public,6,In-Person,82.0,4,77.0,100,Yes
LEC-0020,36,Male,North East,Public,15,online,120,3,50.0,63.0,Yes
LEC-0086,48,Female,NORTH EAST ,Public,10,ONLINE,100,2,65.0,84.0,Yes
LEC-0225,40,F,North West,Public,7,Blended,,4,48.0,75.0,Yes
LEC-0033,35,Male,North Central,Public,7,Blended,70.0,4,58.0,97.0,Yes
LEC-0219,52,Male,North East,Public,26,In-Person,95.0,4,40.0,78.0,Yes
LEC-0085,40,F,South West,Private,3,Online,58.0,4,39.0,51.0,No
LEC-0167,42,female,north central,public,11,blended,95.0,1,38.0,56.0,Yes
LEC-0141,150,Male,North West,public,0,Online,81.0,2,61.0,82.0,Yes
LEC-0024,39,Female,South East,Public,10,In-Person,99.0,4,73.0,96.0,Yes
LEC-0220,,Female,South West,Public,11,Online,86.0,3,54.0,59.0,Yes
